t,tx,ty,tz,px,py,pz
0,0.16632351671079915,0.05793695974570162,0.3005798386615298,0.1656586682712441,0.07211136523771877,0.2993776365373484
1,0.049784625140461614,0.0017324103744385533,0.5823459713575887,0.054540796535224145,0.01973667621161468,0.5737704322926223
2,0.001370958792772936,0.13864347133826765,0.8733153517651842,0.008877620155254395,0.14495480068145783,0.8536558816466748
3,0.08551390094729339,0.38625348562497797,0.9330413668807251,0.08981968622994485,0.38100301926470204,0.9084683218990627
4,0.24344961991167963,0.5336758225036661,0.8064574914703442,0.24095197527816603,0.5014992866653634,0.7952808535455921
5,0.38222630966067217,0.5709803601319163,0.6657915652749657,0.37015861693145513,0.5552815109806657,0.6525941909269944
6,0.4725265917504155,0.5697542742045688,0.5594324330711136,0.4599297647557562,0.5518862826875912,0.5495228647547359
7,0.5254704667970491,0.5674058757431802,0.479424961652919,0.5084823477450414,0.5437803770900498,0.4671724762440588
8,0.5590131121277306,0.5751525278756203,0.41737632416251164,0.5396656767982936,0.5529928605526497,0.39281858952880944
9,0.5869839101847718,0.5955880637312543,0.37122804292216555,0.5652908315302255,0.5721914493079003,0.33941611659949866
10,0.6185297705216263,0.6296631854423904,0.3436236992824283,0.5930634996202889,0.6021964001698121,0.30482454823624505
11,0.6595045486066801,0.6774122665625057,0.34179844528136544,0.6303170648372177,0.6489976205950616,0.2886205199662295
12,0.712429122806144,0.7342723975118373,0.37778655473078665,0.683217005798297,0.7121991160222083,0.3051373338850618
13,0.7733297755750043,0.7834559456651378,0.46327051990145246,0.7516374649889211,0.783022342492854,0.37606513843380185
14,0.8262625720939465,0.7924277265187528,0.5901112321328925,0.8247871151597949,0.8304126471067361,0.5152133834330532
15,0.8448065102262082,0.7364056227899731,0.7075873030169861,0.8728527581224795,0.7992904034564234,0.6895859600100692
16,0.8129256507793877,0.6403190234805075,0.7519467251157137,0.8585374819497916,0.6812588768321648,0.7965942517172421
17,0.7455455953190475,0.5601321016568791,0.7160635155295387,0.7810612846244919,0.556702142714065,0.780671456677106
18,0.6740882254758579,0.5207638406800388,0.6409717719984911,0.6849530581944844,0.4910190822662823,0.6903034170703533
19,0.6196455330219659,0.51249799349952,0.560084672431225,0.6093064362170854,0.4773085682249678,0.5881238016499487
20,0.5873574476576816,0.5202461325337582,0.48596682722783596,0.5635062730093569,0.48561693132236083,0.5010306417416013
21,0.5743202331823668,0.5360718854598011,0.4216332337258722,0.5406478005451739,0.49663494930209007,0.4287157648359625
22,0.5765575287883622,0.5584469982773111,0.36830031530052026,0.5333293108399418,0.5097383586737614,0.3637030876943297
23,0.5919602246201752,0.5893421839272104,0.3282205399194285,0.5378048946863759,0.526615941598644,0.30652795963758717
24,0.6207530718558334,0.6320790973555849,0.30638058641198873,0.5515449876391069,0.5484260820725528,0.26014042373041946
25,0.6646381649989985,0.6888114231972493,0.3126079847699632,0.5744328116967795,0.5808320150361199,0.22551662249679616
26,0.7241952806024619,0.7548481066571706,0.3627960709182736,0.6101618422849958,0.6302167852597216,0.20807552829907716
27,0.7928732959546378,0.8081226677260974,0.47173579168867213,0.6641638593086153,0.7017443638863874,0.22170426455298076
28,0.8487768697068452,0.8061098994253502,0.6246131291202117,0.7405547375196305,0.7936155374780625,0.2926436097915337
29,0.8586512679738343,0.7245754016519504,0.749637110968445,0.8329392643033405,0.8732850827329965,0.4554191726519434
30,0.8089853674938884,0.6096948129260307,0.7754613800955747,0.9058044961961808,0.8561243539741143,0.6934322044977496
31,0.7262507099734785,0.5289016682732457,0.7160365934879469,0.9001775302923257,0.7017134934675373,0.8551779344802922
32,0.6479865793968748,0.496790262609083,0.627126029056944,0.8029673289872877,0.5315761030544683,0.8373967608009991
33,0.5929545232761431,0.49404414393067153,0.5402775305325993,0.678542489789863,0.44729065976631377,0.7245657867809858
34,0.5621240996885848,0.5035411431349676,0.46335812760337897,0.5803304839067113,0.4294044467998628,0.6065812065688645
35,0.5500118535052242,0.5182006342415567,0.39682634353348917,0.5198452839408335,0.4359741563730739,0.5106475168455058
36,0.5516034899111499,0.5374322401433093,0.34053345387719497,0.48602563204703897,0.43922859902311906,0.4337444370930621
37,0.5645506735150715,0.563822913536599,0.29543141079993557,0.4659520965921521,0.43828174788586205,0.36559637934782496
38,0.5892945424988606,0.6015880748403216,0.2647023599809222,0.4526296949921941,0.4329179964731993,0.30571475930316194
39,0.6285239148196562,0.6554159764369704,0.25589823954525,0.43976082917834003,0.41833800730146065,0.25638810809007073
40,0.6857468106532829,0.7270259639365759,0.28428195718698923,0.4216026206160409,0.3941874266630512,0.21640500345547098
41,0.7608958300559525,0.8049200773211794,0.37345962161080876,0.3941422170491752,0.35723666126845144,0.1887249333623655
42,0.8399967312273053,0.8477260017351198,0.536606908468567,0.3521643606863759,0.30118180515880466,0.18177824370506257
43,0.8856284861681306,0.7964342889205551,0.7231018367799342,0.2897028441451196,0.222727500047053,0.21193829834553335
44,0.8591359561748155,0.660246015814069,0.8172012901394026,0.20461686434640647,0.13017559057299266,0.308907075175223
45,0.7706553077322096,0.536027733300199,0.7801445011942987,0.10980285640703158,0.0655047296071829,0.4996763283973551
46,0.670067457427751,0.4770468156442386,0.68221969778761,0.04844409513145809,0.1111734648271927,0.7374002078196715
47,0.5926642208309174,0.4643079636100038,0.581703792798953,0.0744045886791368,0.2859901459225065,0.8631183985343742
48,0.5450419661368033,0.4694635144852247,0.49390042621140323,0.18237083435734835,0.4347424881612132,0.8160981167495216
49,0.5202996995447441,0.47851726266315225,0.41830806378568813,0.3032604204740915,0.5033821308315893,0.6993642115033643
50,0.5101137955441366,0.4876726610966594,0.35274426368262823,0.3949153731526104,0.5174586421037533,0.5867652528882499
51,0.50885057303416,0.49743727883829536,0.29578011689919387,0.4500985852787679,0.5096151345243234,0.49703288564697234
52,0.5138612891901337,0.5098620057949382,0.24664389961421923,0.48065275179165534,0.5061179292662286,0.41831763486060125
53,0.5248670231162743,0.5278743171794241,0.20522511815520628,0.49855171715847046,0.5096724341427397,0.35150834202170267
54,0.5435472711594904,0.5555800227742049,0.1726016310693747,0.5118472577361209,0.5170053571500635,0.29743588033417834
55,0.5735564082649619,0.5988454769351264,0.1525274775322631,0.5256641418637079,0.530899659839938,0.2512977273691197
56,0.6207018299388064,0.6651382348514576,0.15493718317020588,0.5446769833660693,0.5543743807597026,0.21303904621190295
57,0.6920342870380565,0.7591843357087666,0.2026478099333509,0.5727837810837099,0.5905512456758837,0.18694623190961446
58,0.7897001167366506,0.8650293026126127,0.33595031308953766,0.614654029422732,0.6463163007475994,0.1796753140013232
59,0.8921289105091228,0.910891815365167,0.5791306529361797,0.6769341578406683,0.727909886207716,0.2079916926773009
60,0.9358431801792508,0.7990301837535084,0.8295338162282924,0.7638436453813092,0.8288534740928832,0.30579282682521813
61,0.8683030070890754,0.5895749739397402,0.8960298970414269,0.8630607971200998,0.8993044910569532,0.509885840088218
62,0.7325810258974721,0.4512069176095954,0.7954455228152946,0.925365454488921,0.8363250210844884,0.7682626826176544
63,0.6068832405709726,0.40876160861557165,0.6652980514421452,0.8888046600541469,0.6441579594370812,0.8857719088930835
64,0.5221520273667838,0.4070841121627782,0.5580536256163031,0.767215643856121,0.48497431835223903,0.8210560121896581
65,0.472386228423431,0.41109788646493317,0.4727607422574785,0.6394630917801251,0.42337060801356863,0.6938282950991222
66,0.4427292850745761,0.4086902886756881,0.4028593660474124,0.547376258265878,0.416098665947092,0.5797635510204493
67,0.42079716494460473,0.39659720343972565,0.3454422109626171,0.4929356920926674,0.42277156770301216,0.4895917617642116
68,0.39798148313030673,0.37307773088061125,0.30066328152241106,0.46154471178083545,0.42145458300197536,0.41708071747673214
69,0.36792460415080097,0.33547565621342834,0.2717667134928132,0.44025491498632874,0.41551991268905564,0.35308714695928245
70,0.3251449030118342,0.2806032603663454,0.26693707689143326,0.4223802801861788,0.4010337172302112,0.3003532628886625
71,0.2653573574106065,0.20887110716670337,0.3022692203912639,0.4006050942704865,0.37336054887440584,0.26073887818418573
72,0.18974301154736006,0.13564509173044276,0.40045008462173654,0.36885317008836804,0.33168209359826717,0.23637220644084
73,0.11515759646478335,0.10585023154544271,0.5672735396362674,0.3223092398144768,0.2717111255969469,0.23779277702116142
74,0.08015009884374613,0.17145519609224125,0.7405244472170331,0.2565270562120917,0.19343713450622513,0.284153374306783
75,0.11684448364927791,0.3070785537857358,0.8115336685534422,0.17401779996674904,0.1152508871140494,0.4011325977297402
76,0.20721086443966613,0.41902868958427253,0.7626737631602096,0.09589802278379655,0.08856782318979439,0.5928214646464215
