t,tx,ty,tz,px,py,pz
0,0.16632351671079915,0.05793695974570162,0.3005798386615298,0.16861497797144942,0.060504507717411116,0.2872354820881098
1,0.049784625140461614,0.0017324103744385533,0.5823459713575887,0.053396067989898155,-0.01622935687803917,0.558305838273907
2,0.001370958792772936,0.13864347133826765,0.8733153517651842,-0.0009463406782621586,0.10022928733064518,0.8797247684310658
3,0.08551390094729339,0.38625348562497797,0.9330413668807251,0.07736755154252406,0.4020948743221844,0.9435404466225226
4,0.24344961991167963,0.5336758225036661,0.8064574914703442,0.2335450096933015,0.5449721803571599,0.8661437881641092
5,0.38222630966067217,0.5709803601319163,0.6657915652749657,0.3793289015140189,0.5648145324752427,0.713927658414268
6,0.4725265917504155,0.5697542742045688,0.5594324330711136,0.43598710548190156,0.47541965770646755,0.612194284853727
7,0.5254704667970491,0.5674058757431802,0.479424961652919,0.44628411169044946,0.38522309564638846,0.4760733301770541
8,0.5590131121277306,0.5751525278756203,0.41737632416251164,0.431557411093889,0.35737083580306717,0.3005930736506963
9,0.5869839101847718,0.5955880637312543,0.37122804292216555,0.45071485883765217,0.4367026183486402,0.15759101493164795
10,0.6185297705216263,0.6296631854423904,0.3436236992824283,0.5704193566278017,0.7798624149387337,-0.07831140112854129
11,0.6595045486066801,0.6774122665625057,0.34179844528136544,0.9008608291877295,1.4454327217577436,-0.08323151356344205
12,0.712429122806144,0.7342723975118373,0.37778655473078665,1.5838850252598577,2.560918089605627,1.1057569542632155
13,0.7733297755750043,0.7834559456651378,0.46327051990145246,1.2047278972141204,1.8210984389486775,6.262911465814447
14,0.8262625720939465,0.7924277265187528,0.5901112321328925,-1.387410465135311,5.858507542493193,-8.829493947123838
15,0.8448065102262082,0.7364056227899731,0.7075873030169861,7.253585615865855,63.025769011984536,-26.20280768297777
16,0.8129256507793877,0.6403190234805075,0.7519467251157137,18.166102752558572,29.959502983008633,-27.23713850324397
17,0.7455455953190475,0.5601321016568791,0.7160635155295387,-11.617885084275748,-13.829100802641648,29.99807449602777
18,0.6740882254758579,0.5207638406800388,0.6409717719984911,-0.349919083815873,2.22374023528716,-8.982649248474559
19,0.6196455330219659,0.51249799349952,0.560084672431225,-2.2772917958648167,-1.2903547396313435,4.5778785536174755
20,0.5873574476576816,0.5202461325337582,0.48596682722783596,-7.373738026528689,-19.886774867814044,3.70664607838221
21,0.5743202331823668,0.5360718854598011,0.4216332337258722,10.7160679576393,66.54609084644959,-32.73764346336128
22,0.5765575287883622,0.5584469982773111,0.36830031530052026,3.275515996188358,42.27318373439316,-27.546550444493146
23,0.5919602246201752,0.5893421839272104,0.3282205399194285,-0.3137102769352169,20.34695713945616,5.031209344920054
24,0.6207530718558334,0.6320790973555849,0.30638058641198873,0.4021469973998879,44.25369627869205,-25.984789717492333
25,0.6646381649989985,0.6888114231972493,0.3126079847699632,7.1721969964876156,34.785933130666336,9.479700068451434
26,0.7241952806024619,0.7548481066571706,0.3627960709182736,0.8369544141746883,13.480753569903385,-2.1685734494927162
27,0.7928732959546378,0.8081226677260974,0.47173579168867213,2.238955098973415,7.106767614161278,-2.4160117858495216
28,0.8487768697068452,0.8061098994253502,0.6246131291202117,-1.0887936929587096,19.60452099504925,8.882200898020972
29,0.8586512679738343,0.7245754016519504,0.749637110968445,5.682692383989196,55.245439664293,-24.915168252287433
30,0.8089853674938884,0.6096948129260307,0.7754613800955747,-14.924059615071512,-21.438536732329172,50.74898372855937
31,0.7262507099734785,0.5289016682732457,0.7160365934879469,3.491138209231754,16.011490262349472,14.388360707429591
32,0.6479865793968748,0.496790262609083,0.627126029056944,-0.18505259533597673,9.86583127256353,9.90238450519919
33,0.5929545232761431,0.49404414393067153,0.5402775305325993,0.3433720244550672,9.632181955698886,-2.3304757895291695
34,0.5621240996885848,0.5035411431349676,0.46335812760337897,0.5106631260905328,10.003014185213125,-0.3512059996815209
35,0.5500118535052242,0.5182006342415567,0.39682634353348917,1.350904975102538,5.820056889840348,8.545205527642299
36,0.5516034899111499,0.5374322401433093,0.34053345387719497,2.013430948457438,50.69315872111605,-23.457368639190573
37,0.5645506735150715,0.563822913536599,0.29543141079993557,2.2115754713756512,-2.4529137519855304,4.193132744794928
38,0.5892945424988606,0.6015880748403216,0.2647023599809222,-1.27788108728215,9.361272421854807,-5.397516004450548
39,0.6285239148196562,0.6554159764369704,0.25589823954525,-0.8545388559478793,24.36374201539542,-19.579792690755244
40,0.6857468106532829,0.7270259639365759,0.28428195718698923,-2.025033783968837,-3.750445875469108,-4.6250543074606405
41,0.7608958300559525,0.8049200773211794,0.37345962161080876,4.357193196697583,46.35077307676583,-28.816865849527694
42,0.8399967312273053,0.8477260017351198,0.536606908468567,2.80303905779613,32.178672733456864,-14.371864085329298
43,0.8856284861681306,0.7964342889205551,0.7231018367799342,-2.7462668764704627,12.939299919556529,19.39688540906475
44,0.8591359561748155,0.660246015814069,0.8172012901394026,-14.989258797313193,-39.989804628190015,16.16944988824971
45,0.7706553077322096,0.536027733300199,0.7801445011942987,-3.2316237214231602,-2.5711512348803574,1.4836855494437566
46,0.670067457427751,0.4770468156442386,0.68221969778761,4.8029785971719265,14.818826214017019,1.5355475339505658
47,0.5926642208309174,0.4643079636100038,0.581703792798953,9.53224048628488,24.123327382752215,-9.347106962370356
48,0.5450419661368033,0.4694635144852247,0.49390042621140323,-1.804871705879514,-7.480647996101219,2.3866171943027155
49,0.5202996995447441,0.47851726266315225,0.41830806378568813,2.5224304493136516,31.182041008826378,3.059182367436865
50,0.5101137955441366,0.4876726610966594,0.35274426368262823,5.218925875562108,47.99913193555281,-11.474310226695934
51,0.50885057303416,0.49743727883829536,0.29578011689919387,10.649427146608353,26.38584293893497,-10.533480798378907
52,0.5138612891901337,0.5098620057949382,0.24664389961421923,3.2970688404489312,6.1421560919899445,-3.277398076191493
