step,pred
0,0.613016622909444
1,0.5541906416279434
2,0.4998971201778186
3,0.45034931209543405
4,0.40518707347862426
5,0.363773751067761
6,0.32533407270570347
7,0.2889758246000138
8,0.2537222273871538
9,0.21868752488482457
10,0.1834519461184163
11,0.14857367222194018
12,0.11606905969211345
13,0.08963075818441535
14,0.07434260209919108
15,0.07571069890523896
16,0.09803475711417997
17,0.1425502132527603
18,0.20622141841766606
19,0.2820940399796066
20,0.36135593337303806
21,0.436114944836933
22,0.5014121689728521
23,0.5556113611185687
24,0.5993671070621978
25,0.6340248110063134
26,0.6603432286507065
27,0.6780697143468464
28,0.6863943120573825
29,0.6848996844370907
30,0.6744816793948907
31,0.657840265036838
32,0.639379436305076
33,0.6245488858053694
34,0.6187597481169802
35,0.6260600605054965
36,0.6478346449469816
37,0.681924137089303
38,0.7226512148518927
39,0.7620867886499987
40,0.792342193119417
41,0.8079918945541049
42,0.8075240093215283
43,0.7932742148775178
44,0.7701512273651905
45,0.7439234463738731
46,0.7197401267744823
47,0.7012035177086817
48,0.6899933763641526
49,0.6858904111295416
50,0.6870422541927246
51,0.6903944261805237
52,0.6922738124204257
53,0.6890962331403827
54,0.6780856334482204
55,0.6578247023457084
56,0.6284835001408373
57,0.5916903786107914
58,0.5501399929349131
59,0.5070986304887017
60,0.46594564978827613
61,0.4298117776004058
62,0.4012916559801223
63,0.3821687703424641
64,0.3731257857134991
65,0.3735111677110545
66,0.3813282614171958
67,0.39361134245075347
68,0.40720420125832835
69,0.4197250265251542
70,0.4303455906762119
71,0.44005697624524664
72,0.45131277620444665
73,0.4671905344117846
74,0.49036543290772894
75,0.5222151918107563
76,0.5623088597945678
77,0.6084175384022017
78,0.6570439669636585
79,0.7043167822303684
80,0.7469709472324944
81,0.7830963073392305
82,0.8124229788559001
83,0.8360993505841936
84,0.8561087751431136
85,0.8745660612298218
86,0.8931101247746538
87,0.9125153813946421
88,0.9325500257309214
89,0.9520514533599194
90,0.9691658151003901
91,0.981689518447106
92,0.9874415963127863
93,0.9845916281418505
94,0.9718817048491468
95,0.9487163270016685
96,0.915136876088547
97,0.8717263836945399
98,0.8194948893635488
99,0.7597809671643567
100,0.6941847922418645
101,0.6245331923407464
102,0.5528685784039316
103,0.48144395808612916
104,0.4126873327732552
105,0.34907373395494457
106,0.29283431959535244
107,0.24547514186996544
108,0.2071959428020702
109,0.17646079004295423
110,0.15007225974805039
111,0.1240069298563542
112,0.09494889385381722
113,0.06206934358739291
114,0.02838900028029201
115,0.0011030946650296691
116,-0.009595523335209855
117,0.00656679730628662
118,0.055660664256858006
119,0.13550867071765005
120,0.23453313443495905
121,0.3352707179819139
122,0.42120630118665114
123,0.4830175336461833
124,0.5209901306762638
125,0.5429884275398833
126,0.5594424974033876
127,0.5778350034189228
128,0.5992481036072297
129,0.6184673554087139
130,0.6273081507627278
131,0.6192681942865192
132,0.5931911625332966
133,0.5544653085844571
134,0.5136518891437736
135,0.4834087647336993
136,0.4748297067179008
137,0.4941300693502839
138,0.540385822171652
139,0.6050797714260765
140,0.6742431920287582
141,0.7331201094893625
142,0.771493138342922
143,0.7868645924490902
144,0.7840414817142314
145,0.7720561440852292
146,0.7604777343368743
147,0.7566566147952365
148,0.76441048425621
149,0.7839349027283391
150,0.8124590256723319
151,0.8452399735081082
152,0.876678886472702
153,0.9014459792511689
154,0.9154644318122669
