step,pred
0,0.45498954751915566
1,0.43762962370487046
2,0.4120815722548117
3,0.3735261504036571
4,0.3164761406078289
5,0.23772072737817662
6,0.14671444661960376
7,0.0826598259153822
8,0.10000177572140542
9,0.19795927111694211
10,0.31732251937103934
11,0.41453980022669673
12,0.48654818979890524
13,0.5519463764740508
14,0.6373331633803698
15,0.773509520295464
16,0.9725610764705153
17,1.1086267827971825
18,0.9541456486092543
19,0.6206260391567087
20,0.30842398622612366
21,-0.020223503539064436
22,-0.3479991789686323
23,-0.015883841146298927
24,1.0713255159302322
25,-0.2713420865604639
26,-3.2771169311972197
27,190.44592460323938
28,-31391244.01850045
29,1.3855052897437115e+23
30,-1.1912535725247087e+70
31,7.5716808448461e+210
32,7.5716808448461e+210
33,7.5716808448461e+210
34,7.5716808448461e+210
35,7.5716808448461e+210
36,7.5716808448461e+210
37,7.5716808448461e+210
38,7.5716808448461e+210
39,7.5716808448461e+210
40,7.5716808448461e+210
41,7.5716808448461e+210
42,7.5716808448461e+210
43,7.5716808448461e+210
44,7.5716808448461e+210
45,7.5716808448461e+210
46,7.5716808448461e+210
47,7.5716808448461e+210
48,7.5716808448461e+210
49,7.5716808448461e+210
50,7.5716808448461e+210
51,7.5716808448461e+210
52,7.5716808448461e+210
53,7.5716808448461e+210
54,7.5716808448461e+210
55,7.5716808448461e+210
56,7.5716808448461e+210
57,7.5716808448461e+210
58,7.5716808448461e+210
59,7.5716808448461e+210
60,7.5716808448461e+210
61,7.5716808448461e+210
62,7.5716808448461e+210
63,7.5716808448461e+210
64,7.5716808448461e+210
65,7.5716808448461e+210
66,7.5716808448461e+210
67,7.5716808448461e+210
68,7.5716808448461e+210
69,7.5716808448461e+210
70,7.5716808448461e+210
71,7.5716808448461e+210
72,7.5716808448461e+210
73,7.5716808448461e+210
74,7.5716808448461e+210
75,7.5716808448461e+210
76,7.5716808448461e+210
77,7.5716808448461e+210
78,7.5716808448461e+210
79,7.5716808448461e+210
80,7.5716808448461e+210
81,7.5716808448461e+210
82,7.5716808448461e+210
83,7.5716808448461e+210
84,7.5716808448461e+210
85,7.5716808448461e+210
86,7.5716808448461e+210
87,7.5716808448461e+210
88,7.5716808448461e+210
89,7.5716808448461e+210
90,7.5716808448461e+210
91,7.5716808448461e+210
92,7.5716808448461e+210
93,7.5716808448461e+210
94,7.5716808448461e+210
95,7.5716808448461e+210
96,7.5716808448461e+210
97,7.5716808448461e+210
98,7.5716808448461e+210
99,7.5716808448461e+210
100,7.5716808448461e+210
101,7.5716808448461e+210
102,7.5716808448461e+210
103,7.5716808448461e+210
104,7.5716808448461e+210
105,7.5716808448461e+210
106,7.5716808448461e+210
107,7.5716808448461e+210
108,7.5716808448461e+210
109,7.5716808448461e+210
110,7.5716808448461e+210
111,7.5716808448461e+210
112,7.5716808448461e+210
113,7.5716808448461e+210
114,7.5716808448461e+210
115,7.5716808448461e+210
116,7.5716808448461e+210
117,7.5716808448461e+210
118,7.5716808448461e+210
119,7.5716808448461e+210
120,7.5716808448461e+210
121,7.5716808448461e+210
122,7.5716808448461e+210
123,7.5716808448461e+210
124,7.5716808448461e+210
125,7.5716808448461e+210
126,7.5716808448461e+210
127,7.5716808448461e+210
128,7.5716808448461e+210
129,7.5716808448461e+210
130,7.5716808448461e+210
131,7.5716808448461e+210
132,7.5716808448461e+210
133,7.5716808448461e+210
134,7.5716808448461e+210
135,7.5716808448461e+210
136,7.5716808448461e+210
137,7.5716808448461e+210
138,7.5716808448461e+210
139,7.5716808448461e+210
140,7.5716808448461e+210
141,7.5716808448461e+210
142,7.5716808448461e+210
143,7.5716808448461e+210
144,7.5716808448461e+210
145,7.5716808448461e+210
146,7.5716808448461e+210
147,7.5716808448461e+210
148,7.5716808448461e+210
149,7.5716808448461e+210
150,7.5716808448461e+210
151,7.5716808448461e+210
152,7.5716808448461e+210
153,7.5716808448461e+210
154,7.5716808448461e+210
155,7.5716808448461e+210
156,7.5716808448461e+210
157,7.5716808448461e+210
158,7.5716808448461e+210
159,7.5716808448461e+210
160,7.5716808448461e+210
161,7.5716808448461e+210
162,7.5716808448461e+210
163,7.5716808448461e+210
164,7.5716808448461e+210
165,7.5716808448461e+210
166,7.5716808448461e+210
167,7.5716808448461e+210
168,7.5716808448461e+210
169,7.5716808448461e+210
