t,y_true,y_pred
0,0.049784625140461614,0.10835148451899101
1,0.0013709587927728992,-0.020975018226657483
2,0.08551390094729337,-0.024298612700466293
3,0.24344961991167963,0.16650868904434368
4,0.38222630966067217,0.39995181995833207
5,0.4725265917504155,0.518763024498714
6,0.5254704667970491,0.5364860744251452
7,0.5590131121277306,0.5283156922287624
8,0.5869839101847718,0.5377649151718789
9,0.6185297705216263,0.57135915242762
10,0.6595045486066801,0.6210119337854216
11,0.7124291228061441,0.6791918832257302
12,0.7733297755750043,0.7412693235032073
13,0.8262625720939465,0.7991313102275619
14,0.8448065102262083,0.8335726394665794
15,0.8129256507793877,0.8198063163311282
16,0.7455455953190475,0.7541633389844069
17,0.6740882254758579,0.6702181838568428
18,0.619645533021966,0.6086866001774975
19,0.5873574476576816,0.5812746091294141
20,0.5743202331823668,0.5756993432752644
21,0.5765575287883622,0.5787556921266326
22,0.5919602246201752,0.5869553087207215
23,0.6207530718558334,0.6042730290443945
24,0.6646381649989985,0.6366390546318925
25,0.7241952806024619,0.6878394938380978
26,0.7928732959546377,0.7556615095320147
27,0.8487768697068452,0.8253960418686681
28,0.8586512679738343,0.8644678240623112
29,0.8089853674938885,0.8370448826774926
30,0.7262507099734785,0.7445347584197055
31,0.6479865793968748,0.6375365369968495
32,0.5929545232761432,0.564077249243482
33,0.5621240996885848,0.5304904372319346
34,0.5500118535052242,0.5193268010851071
35,0.5516034899111499,0.5171069523452179
36,0.5645506735150716,0.521943327226932
37,0.5892945424988606,0.538513934748222
38,0.6285239148196562,0.5723434925113917
39,0.685746810653283,0.6272477746317566
40,0.7608958300559526,0.7038446426296048
41,0.8399967312273053,0.7945225652702153
42,0.8856284861681307,0.8724860225918079
43,0.8591359561748155,0.8894073526101884
44,0.7706553077322097,0.8140458302643427
45,0.670067457427751,0.6848212634991011
46,0.5926642208309174,0.5774415075507839
47,0.5450419661368033,0.5229824395206979
48,0.5202996995447441,0.5032173162172224
49,0.5101137955441366,0.4939956885133441
50,0.5088505730341601,0.4864479142603404
51,0.5138612891901336,0.4832846043965837
52,0.5248670231162743,0.4897852130208644
53,0.5435472711594904,0.5091986257710968
54,0.573556408264962,0.5428458720110108
55,0.6207018299388065,0.5922615002698475
56,0.6920342870380566,0.6608768963800653
57,0.7897001167366506,0.7524804253290629
58,0.8921289105091229,0.8610020246972407
59,0.9358431801792508,0.947619867131106
60,0.8683030070890754,0.9366167656811832
61,0.7325810258974721,0.7954909386035549
62,0.6068832405709726,0.6139757520790017
63,0.5221520273667838,0.4991103109586934
64,0.472386228423431,0.4573035386738997
65,0.4427292850745761,0.44239519839745434
66,0.4207971649446048,0.42332750934910024
67,0.39798148313030673,0.3944946214854408
68,0.36792460415080097,0.3602523172534564
69,0.32514490301183424,0.32218220707237855
70,0.26535735741060645,0.2756189894487484
71,0.18974301154736006,0.21343180625560976
72,0.11515759646478332,0.13651418929505077
73,0.08015009884374612,0.07105371345359046
74,0.11684448364927792,0.07274434436540922
75,0.2072108644396661,0.17279711298029454
76,0.3028727445456003,0.31355338762465657
77,0.37398924920171656,0.4096843029499002
78,0.4166409515045492,0.44099592555113887
79,0.437859342335975,0.43771080315955935
80,0.4452168251604544,0.42960700483319236
81,0.4434951454846053,0.4272517223753036
82,0.4345229653758102,0.4277755077362526
83,0.4176795524001716,0.42439299780593664
84,0.3901696748754098,0.41113972893841666
85,0.34707807037639843,0.3830485043445382
86,0.28216245406801854,0.334518372052548
87,0.1926052005812328,0.259094362745099
88,0.09392404488675633,0.15627431159213145
89,0.03835300936074954,0.05402946826704458
90,0.0817554920778915,0.031110074078194216
91,0.20190863697327596,0.1519340135513545
92,0.32591912154359187,0.3406283315884284
93,0.41448211719137584,0.46520969352394204
94,0.4674614441900455,0.4996435548875491
