t,true_x,true_y,true_z,pred_x,pred_y,pred_z
0,0.049784625140461614,0.0017324103744385533,0.5823459713575887,0.04978382340232032,0.0017386649330439416,0.5823292419908168
1,0.001370958792772936,0.13864347133826765,0.8733153517651842,0.001366762796588799,0.1386173659796448,0.8732984306805645
2,0.08551390094729339,0.38625348562497797,0.9330413668807251,0.08551278438567321,0.3862338354851348,0.933051153179089
3,0.24344961991167963,0.5336758225036661,0.8064574914703442,0.2434557325379545,0.5336742313942254,0.8065002885882537
4,0.38222630966067217,0.5709803601319163,0.6657915652749657,0.38221284027295005,0.5709498279999292,0.6657521422015725
5,0.4725265917504155,0.5697542742045688,0.5594324330711136,0.4725217556060855,0.5697594154775315,0.5594009538289633
6,0.5254704667970491,0.5674058757431802,0.479424961652919,0.5254807312277916,0.5674549478811746,0.47942850309612617
7,0.5590131121277306,0.5751525278756203,0.41737632416251164,0.5590059854166955,0.5751359306374711,0.41736578479489966
8,0.5869839101847718,0.5955880637312543,0.37122804292216555,0.5869869955564108,0.5955865751384378,0.37124409924488483
9,0.6185297705216263,0.6296631854423904,0.3436236992824283,0.61853291577786,0.6296563395485446,0.34364716125480377
10,0.6595045486066801,0.6774122665625057,0.34179844528136544,0.6595019602651301,0.6773904423345092,0.3418067129501899
11,0.712429122806144,0.7342723975118373,0.37778655473078665,0.7124255632520743,0.7342514088260426,0.37778762885780043
12,0.7733297755750043,0.7834559456651378,0.46327051990145246,0.7733286904017614,0.7834503441163314,0.46327329807527745
13,0.8262625720939465,0.7924277265187528,0.5901112321328925,0.8262626049884397,0.792426243832318,0.5901234521704386
14,0.8448065102262082,0.7364056227899731,0.7075873030169861,0.8448068926157289,0.736404287677055,0.7076048486782491
15,0.8129256507793877,0.6403190234805075,0.7519467251157137,0.8129347690075116,0.640355176411112,0.7519744795801275
16,0.7455455953190475,0.5601321016568791,0.7160635155295387,0.7455528638073562,0.5601344821144393,0.7161080813367332
17,0.6740882254758579,0.5207638406800388,0.6409717719984911,0.6740927804978062,0.5207443532874415,0.6410057629382946
18,0.6196455330219659,0.51249799349952,0.560084672431225,0.619654979308981,0.5124998002797982,0.5601269940574802
19,0.5873574476576816,0.5202461325337582,0.48596682722783596,0.5873644738642166,0.5202461392347568,0.48599751256899304
20,0.5743202331823668,0.5360718854598011,0.4216332337258722,0.5743230234964894,0.5360567198740094,0.4216535748542297
21,0.5765575287883622,0.5584469982773111,0.36830031530052026,0.5765583349822699,0.5584343196490412,0.36830652617026993
22,0.5919602246201752,0.5893421839272104,0.3282205399194285,0.5919627446277739,0.5893439257114078,0.3282300491460348
23,0.6207530718558334,0.6320790973555849,0.30638058641198873,0.6207590514432447,0.6320969238496442,0.3064110274463865
24,0.6646381649989985,0.6888114231972493,0.3126079847699632,0.6646464043991207,0.6888370553455985,0.31266015357409505
25,0.7241952806024619,0.7548481066571706,0.3627960709182736,0.7242041021579779,0.7548744696828837,0.3628550999576863
26,0.7928732959546378,0.8081226677260974,0.47173579168867213,0.7928834234165776,0.8081543491070432,0.47178301690827756
27,0.8487768697068452,0.8061098994253502,0.6246131291202117,0.8487853009946598,0.8061262253598824,0.6246497726165565
28,0.8586512679738343,0.7245754016519504,0.749637110968445,0.8586556761833565,0.7245831496303312,0.7496547542663887
29,0.8089853674938884,0.6096948129260307,0.7754613800955747,0.8089938760324783,0.6097337158083226,0.7754794911866403
30,0.7262507099734785,0.5289016682732457,0.7160365934879469,0.7262514631625399,0.5288925731364874,0.7160539546060527
31,0.6479865793968748,0.496790262609083,0.627126029056944,0.6479875593382556,0.49677352179596673,0.6271407210085574
32,0.5929545232761431,0.49404414393067153,0.5402775305325993,0.5929600078523923,0.494054973816276,0.5402965909753883
33,0.5621240996885848,0.5035411431349676,0.46335812760337897,0.5621259775339266,0.5035382839605173,0.4633693785512228
34,0.5500118535052242,0.5182006342415567,0.39682634353348917,0.5500108024695071,0.5181852404986805,0.3968318023291847
35,0.5516034899111499,0.5374322401433093,0.34053345387719497,0.5516015270909315,0.537422106381702,0.34052388587456445
36,0.5645506735150715,0.563822913536599,0.29543141079993557,0.5645510039545351,0.563825492176015,0.29542505984420026
37,0.5892945424988606,0.6015880748403216,0.2647023599809222,0.5892980726528619,0.6016035504303752,0.2647132006176073
38,0.6285239148196562,0.6554159764369704,0.25589823954525,0.6285286410104353,0.6554343708497483,0.255926004023055
39,0.6857468106532829,0.7270259639365759,0.28428195718698923,0.6857498689914634,0.727035602647955,0.2843153104807351
40,0.7608958300559525,0.8049200773211794,0.37345962161080876,0.760897867874687,0.8049305508578736,0.3734788552405522
41,0.8399967312273053,0.8477260017351198,0.536606908468567,0.840002303870201,0.8477542433320394,0.5366096059159172
42,0.8856284861681306,0.7964342889205551,0.7231018367799342,0.8856286416704807,0.7964248334393295,0.7231145240520682
43,0.8591359561748155,0.660246015814069,0.8172012901394026,0.8591372551673294,0.6602621781094584,0.8171878527351177
44,0.7706553077322096,0.536027733300199,0.7801445011942987,0.7706571012955692,0.5360342451307112,0.7801548483078332
45,0.670067457427751,0.4770468156442386,0.68221969778761,0.6700616458054149,0.4770294456106756,0.6821965087076169
46,0.5926642208309174,0.4643079636100038,0.581703792798953,0.5926664272288168,0.4643141366629271,0.5817090613790368
47,0.5450419661368033,0.4694635144852247,0.49390042621140323,0.5450412912789495,0.46947521303861894,0.49388832886590717
48,0.5202996995447441,0.47851726266315225,0.41830806378568813,0.5202978996353074,0.47850846077913406,0.418312195223567
49,0.5101137955441366,0.4876726610966594,0.35274426368262823,0.51011098434228,0.4876650892725256,0.35273702712395677
50,0.50885057303416,0.49743727883829536,0.29578011689919387,0.508848073423817,0.49743324037228176,0.2957613585061479
51,0.5138612891901337,0.5098620057949382,0.24664389961421923,0.5138611538378727,0.5098644818345952,0.24663092327664413
52,0.5248670231162743,0.5278743171794241,0.20522511815520628,0.5248693079475594,0.5278845023411746,0.2052236146977306
53,0.5435472711594904,0.5555800227742049,0.1726016310693747,0.5435502771693612,0.555592094834232,0.17260928073056753
54,0.5735564082649619,0.5988454769351264,0.1525274775322631,0.5735578847194069,0.5988505221812465,0.15253858204174187
55,0.6207018299388064,0.6651382348514576,0.15493718317020588,0.6207000634640932,0.6651270854593601,0.15494828928052437
56,0.6920342870380565,0.7591843357087666,0.2026478099333509,0.692028585453712,0.7591541564713933,0.20265701651801207
57,0.7897001167366506,0.8650293026126127,0.33595031308953766,0.7896942487818541,0.8650144942881778,0.3359428111404405
58,0.8921289105091228,0.910891815365167,0.5791306529361797,0.8921301067049843,0.9109078879800633,0.5791144089134469
59,0.9358431801792508,0.7990301837535084,0.8295338162282924,0.9358420922866169,0.799022769751432,0.8295474877559278
60,0.8683030070890754,0.5895749739397402,0.8960298970414269,0.8683023762073258,0.5895667640567098,0.8960026080022823
61,0.7325810258974721,0.4512069176095954,0.7954455228152946,0.73258326617476,0.45120847702073336,0.7954514945317501
62,0.6068832405709726,0.40876160861557165,0.6652980514421452,0.606884478293167,0.4087658824296057,0.6652997008508724
63,0.5221520273667838,0.4070841121627782,0.5580536256163031,0.5221529023394444,0.40709821630777665,0.5580509458502759
64,0.472386228423431,0.41109788646493317,0.4727607422574785,0.47238316088212023,0.411088878812534,0.4727482031238456
65,0.4427292850745761,0.4086902886756881,0.4028593660474124,0.4427325881620022,0.40869618987598083,0.40287885909379983
66,0.42079716494460473,0.39659720343972565,0.3454422109626171,0.4207988543788157,0.39660805730655496,0.3454471958757701
67,0.39798148313030673,0.37307773088061125,0.30066328152241106,0.39798081399884644,0.373074962711578,0.300666029978085
68,0.36792460415080097,0.33547565621342834,0.2717667134928132,0.367923277822536,0.3354667703079797,0.27177189863905127
69,0.3251449030118342,0.2806032603663454,0.26693707689143326,0.3251445112034584,0.2805993534703157,0.2669384172256409
